NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                             
       119    449.2156      8.4951      847.231     98.60104        58 -59.92   2    2.873
       120    693.1536     23.3381     1439.366     100.4889        24  83.01   2    1.103
       121    129.3044     14.4171     1345.713     99.47559        66  -0.69   0    1.253
       122    385.6867     31.2258      800.491     98.49325        14  -5.22   0    1.188
       123    869.1375     34.1563     584.7885     98.53722         8 -44.12   0    1.212
       124    430.8893     22.9909     1635.185     100.6662        32 -57.01   2    1.289
       125    443.7272     25.1908     1273.434      100.113        32 -42.70   0    1.484
       126   1021.3918      8.0523     15119.37     127.9436       138  38.61  10    1.710
       127    359.8786      8.5101     1029.962     99.02133        79  80.38   2    1.841
       128    877.9747     25.9224     2041.245     101.8411        29  25.35   0    1.129
       129     66.0042     29.6701     1363.113     100.3163        21  83.19   0    1.026
       130    748.8361     21.4935     1752.438     100.1345        42 -59.70   0    1.718
       131    643.6200     21.4951     1260.831     99.28147        33  82.07   2    1.583
       132    529.9954     32.7402     1288.209     100.4125        18  -5.99   0    1.137
       133    208.8849     30.5475     2005.399     101.2354        29  -8.14   2    1.017
       134    285.7635     31.4562     1876.535     101.4729        29  37.06   0    1.074
       135    993.5057     31.5278     746.1296     98.36772        24 -47.89   0    1.733
       136    511.9441     22.2215     1703.198     101.0839        56 -41.71   2    1.318
       137      4.9049     33.9613     1150.115     98.75794        19 -67.46   0    1.014
       138    927.3698     34.0670     1308.002     100.1914        33   0.60   0    1.877
       139    763.0482     24.7975     4125.235     106.3902        65 -12.18   0    1.512
       140    811.4561     32.8798     862.9506     98.63727        20 -77.94   0    1.546
       141    626.5718     21.6748     2754.843     103.4213        44  65.57   0    1.346
       142    759.6503      4.0234     59194.56     190.9374       216  -1.38  10    1.097
       143    903.7712     33.0531     595.9864     98.83333        14 -56.18   0    2.181
       144    488.0702     38.2162     700.8025     99.07407        10  60.67   0    1.273
       145    292.0139     36.0170     815.4915     99.06789        16 -45.52   2    1.190
       146    758.4998     34.1400     1287.535     99.34258        24  49.93   2    1.151
       147    492.5005     41.0084     524.0406       98.397        12  -1.31   0    1.363
       148   1020.4955     38.5047     807.8135     98.78057        14 -23.31   2    1.035
       149    335.7660     32.1538     1098.766     99.98282        28  -4.13   2    1.175
       150    910.5355     39.2209     813.1649     99.33149        12 -11.20   0    1.050
       151    588.5042     36.4912     1707.717     100.8298        27   5.85   2    1.327
       152     95.9732     35.7397       1786.2     101.5334        26 -13.88   0    1.065
       153    545.2716     27.9753     6398.737     111.1408        68 -16.83   0    1.374
       154    443.5740     32.9495     1808.601     101.8458        28  54.10   0    1.256
       155    433.7812     42.9965     752.7248      98.9238         9  -2.04   0    1.187
       156    811.5722     43.0100     577.1555     98.79002        10  27.45   0    1.619
       157    976.4790     29.6936      1677.91     100.7626        48  54.21   2    1.508
       158    653.8884     34.7662     1106.177     99.19611        20 -81.88   0    1.356
       159    665.9346     39.4583     1215.791     99.98201        18 -32.38   0    1.093
       160    354.5042     38.4816     1336.507     99.72243        18 -59.97   2    1.479
       161    307.3910     44.0983     758.7612     98.93766        11  15.56   0    1.355
       162    393.4803     33.6358      1728.34     101.1404        38 -27.99   2    1.126
       163    422.6107     43.7952     515.4364     98.37712         5  71.73   0    1.670
       164    504.7301     29.4681     1488.887     100.3353        44   6.79   0    1.433
       165    266.1856     35.1751     852.7111     99.42193        28  28.21   2    1.174
       166    587.4581     31.5090     2790.318     102.9825        43  39.82   2    1.460
       167    612.5890     42.7292     783.6984     98.99493        15   8.18   0    1.218
       168    889.3993     42.2469     940.1978     99.35357        14  10.30   0    1.041
       169    569.8943     34.1741     764.1087      98.1378        25  80.83   2    1.607
       170    894.1263     30.8916     5148.814     108.0622        54 -56.43   0    1.105
       171    953.5896     32.2256     1541.351     100.9838        18 -89.04   2    1.148
       172    714.8906     33.2945     3755.502     105.3445        41 -78.04   2    1.038
       173   1023.5316     35.8885     1380.927     94.04417        17 -88.47  26    1.893
       174    521.2161     11.6743     40416.89     166.9384       193 -86.38   2    1.096
       175    577.8977      9.6903     57758.05     188.5136       286 -78.17  10    1.093
       176    303.4756     33.1165     919.4706     98.49694        17  72.21   2    1.561
       177    327.2068     40.8019     1544.811     100.7271        22 -85.62   0    1.125
       178    483.2420     42.8641     1128.954     99.78442        19  44.23   0    1.118
       179   1017.3518     45.0634     638.6838     98.66145        11 -36.40   0    1.200
       180    543.3309     39.4064     739.3472     98.89305        23 -60.53   0    1.834
       181    796.5352     39.0817     2077.727     101.6604        32  65.92   0    1.121
       182    598.0687     34.6374     1162.041     99.85975        43 -38.18   2    2.928
