NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                          
       237    438.0521     59.9577     450.9957     69.56177        15   2.53   2    1.097
       238    512.6467     45.5230     829.6141     70.41927        55 -87.30   0    1.552
       239    341.8001     55.7007     766.7651     70.40127        23  73.04   0    1.090
       240    220.0096     62.9309     361.8248     69.08165         8 -28.39   0    1.014
       241    596.4407     49.2967     823.2578     69.84186        44 -20.55   2    1.353
       242    922.2898     50.0894     954.2489     70.82037        37 -51.25   2    1.129
       243    983.3911     56.1917      458.475      69.3989        17 -83.32   2    1.404
       244    271.7800     25.4069     12885.15     102.2971       191 -86.23   2    1.320
       245    207.4545     54.7323     1083.006     71.23238        34 -88.34   0    1.068
       246    728.3731     57.8556     598.3878     69.85559        24 -20.38   2    1.289
       247    520.0814     59.5649     552.9387     69.70757        17 -32.54   0    1.109
       248    827.8358     62.3443     349.4352     69.04088         9  37.55   0    1.781
       249    732.8352     64.8468     310.4066     68.91228         7 -46.42   0    1.178
       250    922.3741     56.4872     435.8051     68.94807        27  49.88   2    1.087
       251    417.9341     53.7402     1762.243     73.54474        47 -37.96   0    1.124
       252    469.2200     61.2396     711.0016     70.77493        21  81.10   0    1.036
       253    648.9910     60.8979     735.1091       70.299        30  -6.80   0    1.406
       254    103.5992     66.2262     231.8727     69.03094         1 -71.92   0    1.630
       255    574.1309     57.8200     1682.826     73.47627        36  12.05   2    1.424
       256    569.6113     42.9251      1182.89     71.91327       127 -14.48   2    2.209
       257    243.3253     50.8502     508.3776     69.37476        21  88.94   2    2.466
       258    298.5732     59.4328     829.6101     70.97161        27  29.48   0    1.106
       259    432.9474     59.7095     609.1991     69.51728        28 -64.67   2    1.181
       260    981.5048     59.4983     423.4519     68.71818        13 -84.27   2    1.471
       261    142.8266     60.2769     832.5233     70.61323        25  17.63   0    1.039
       262    526.3154     65.3393     448.8104     68.99092        16 -25.45   2    1.283
       263    536.0157     63.1668     589.3917     70.38332        20  33.90   2    1.100
       264    751.2535     61.2964     563.4417     69.17962        20 -78.47   2    1.206
       265    172.4247     53.9051     606.8381     69.32204        34  76.85   2    1.672
       266    403.4774     66.4987     481.4789     68.90982        16  -0.13   2    1.237
       267    403.6529     39.3325      5414.71     84.07759       131  64.91   2    1.384
       268    181.7898     59.9903     937.1537     70.94919        36  15.42   0    1.165
       269    683.6089     60.1277     336.5789     68.99854        14 -64.33   0    1.864
       270    751.0067     54.7156     1716.831     73.58138        47  74.40   2    1.134
       271    785.1167     62.6899     746.1317     70.14931        26  58.77   0    1.118
       272    528.5125     62.4866     508.3068     69.37452        18 -31.10   2    1.164
       273    623.2939     65.0453     306.5242     68.33037         8 -85.39   0    1.861
       274    458.7775     59.6950     585.3932      69.2517        26  80.34   2    1.143
       275    574.8041     49.4011     1188.492     71.74979        79  48.77   2    1.465
       276    352.2783     33.2384     1391.197     72.38902        99  64.42   2    1.493
       277    670.9399     60.6950     531.8859     69.07587        28 -44.71   0    1.712
       278    263.9084     52.4642     1296.927     71.73044        49 -46.38   2    1.315
       279    745.5170     66.4704     494.4444     69.14109        14 -71.45   2    1.306
       280    881.4656     70.8020     274.9001     68.98402         6   2.83   0    1.330
       281    410.0015     65.4998     1047.703     71.30244        14  34.32   2    2.017
       282    791.8220     62.4902     405.4485     68.65862        20 -79.61   0    1.853
       283    741.4890     66.7610     622.4902     69.56071        24  -8.07   2    1.279
       284    837.3459     66.7222     477.7125     69.27422        14  81.86   0    1.149
       285    482.0420     69.4858     411.0173     68.86631        13   0.47   0    1.198
       286    561.8751     69.5833     452.9088     69.56802        14  25.65   0    1.083
       287    638.9894     64.4992     926.8629     70.91622        30  41.17   2    1.190
       288    334.4325     20.1223     32885.89     139.8426       295  75.02   2    1.163
       289    491.5692     55.3144     480.7728     69.28426        19 -78.38   2    1.747
       290    990.7935     65.1624     503.8241     69.92056        25  20.25   0    1.504
       291    906.3495     63.3069     735.2541     69.74178        31  89.65   2    1.262
       292    903.0413     67.9917     599.8649     70.41714        22 -25.39   2    1.137
       293    601.5525     70.3280     357.7079     69.06811        10  18.50   0    1.159
       294    397.4882     66.5148     307.9848     68.71513         9  14.03   2    1.405
       295    567.5984     63.3497     741.3467     70.31916        38 -44.78   2    1.289
       296     36.7457     29.6752     656.7234     69.85905        30  40.84   0    1.398
       297    549.3475     66.7118     572.3038     69.39655        18  85.14   0    1.200
       298    953.9274     71.5585     311.7198     68.91661        10  38.36   0    1.297
       299      3.4825     73.9834    -975.7859     67.88084         0  89.68   0    1.582
       300    979.5108     74.0273     249.3247     68.33061         2   1.24   0    1.162
       301    914.3103     68.8655     581.3755     69.42625        22  28.48   2    1.188
       302   1008.0748     57.5203     3100.707      77.0657        71 -39.26   0    1.066
       303    608.7822     65.4182     761.3016     70.75253        29 -62.70   0    1.412
       304    540.3660     67.1884     887.9052     71.34074        32  22.45   2    1.100
       305    343.0135     72.5834     353.7376     69.05504        10  26.42   0    1.209
       306    872.0492     75.0977     251.8698     68.14835         5 -19.36   0    2.808
       307    257.9557     51.9334      1332.81     72.20548        58  80.91   2    1.614
       308    448.0110     70.9766     320.8352      69.1352         6  89.71   0    1.424
       309    139.3501     73.3826     361.0787     69.45502        12 -40.30   0    1.149
       310    885.6204     76.2035     216.0444     68.60037         1 -72.32   0    1.658
       311    696.7769     44.4995      1654.13      72.4952        57 -68.11   2    1.385
       312    873.8186     58.0193     736.3821     70.67244        33  68.77   0    1.843
       313     96.3630     74.3759     369.3645     69.66922        11  47.53   0    1.167
       314    225.1941     74.5038     427.8866     69.29865        14  80.32   0    1.056
       315    170.4904     72.0326     378.5413     68.56949        15 -81.51   2    1.321
       316    211.3195     63.0179      736.668     70.30404        44  71.23   0    1.487
       317    247.7099     68.5029     327.6814     68.59074        13 -79.81   0    1.884
