NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                             
       250    922.3741     56.4872     1093.133     213.7212        25  49.88   2    1.087
       251    417.9341     53.7402     5036.394     220.5112        49 -37.96   0    1.124
       252    469.2200     61.2396     1835.748     217.7635        20  81.10   0    1.036
       253    648.9910     60.8979     1870.024     216.0339        27  -6.80   0    1.406
       254    103.5992     66.2262        482.7     215.2407         0 -71.92   0    1.630
       255    574.1309     57.8200     4969.187     220.9997        36  12.05   2    1.424
       256    569.6113     42.9251     3156.958     218.4541       125 -14.48   2    2.209
       257    243.3253     50.8502     1303.234     214.6243        16  88.94   2    2.466
       258    298.5732     59.4328     2054.247     217.4826        25  29.48   0    1.106
       259    432.9474     59.7095     1526.913     214.3468        24 -64.67   2    1.181
       260    981.5048     59.4983     1081.571      213.102        13 -84.27   2    1.471
       261    142.8266     60.2769     2018.362     216.2457        24  17.63   0    1.039
       262    526.3154     65.3393     1222.305     213.9077        15 -25.45   2    1.283
       263    536.0157     63.1668     1463.914     217.2359        19  33.90   2    1.100
       264    751.2535     61.2964     1346.068     213.4848        20 -78.47   2    1.206
       265    172.4247     53.9051     1760.452      214.083        36  76.85   2    1.672
       266    403.4774     66.4987     1321.103     213.4487        15  -0.13   2    1.237
       267    403.6529     39.3325     16030.24     235.3965       130  64.91   2    1.384
       268    181.7898     59.9903     2449.381       216.86        34  15.42   0    1.165
       269    683.6089     60.1277     936.9467     214.6967        12 -64.33   0    1.864
       270    751.0067     54.7156     4700.732     220.6244        48  74.40   2    1.134
       271    785.1167     62.6899     1969.962      215.581        26  58.77   0    1.118
       272    528.5125     62.4866     1325.561     214.6564        18 -31.10   2    1.164
       273    623.2939     65.0453     814.6496     212.7151         4 -85.39   0    1.861
       274    458.7775     59.6950     1637.096     213.9051        23  80.34   2    1.143
       275    574.8041     49.4011     3413.678     218.2281        79  48.77   2    1.465
       276    352.2783     33.2384     4140.962     219.2543       104  64.42   2    1.493
       277    670.9399     60.6950     1503.018     213.7115        25 -44.71   0    1.712
       278    263.9084     52.4642     3647.477     217.3788        48 -46.38   2    1.315
       279    745.5170     66.4704     1242.596      213.937        10 -71.45   2    1.306
       280    881.4656     70.8020     780.9579      215.071         1   2.83   0    1.330
       281    410.0015     65.4998     3212.486     217.9434        14  34.32   2    2.017
       282    791.8220     62.4902     1152.109     213.2042        15 -79.61   0    1.853
       283    741.4890     66.7610     1609.591     214.4658        23  -8.07   2    1.279
       284    837.3459     66.7222     1138.982      214.388        11  81.86   0    1.149
       285    482.0420     69.4858     1045.828     213.6529         9   0.47   0    1.198
       286    561.8751     69.5833     1082.085     215.5027        10  25.65   0    1.083
       287    638.9894     64.4992     2353.233     216.7231        30  41.17   2    1.190
       288    334.4325     20.1223      95398.9     323.1169       300  75.02   2    1.163
       289    491.5692     55.3144     1142.924     214.3937        16 -78.38   2    1.747
       290    990.7935     65.1624     1369.541     216.5087        22  20.25   0    1.504
       291    906.3495     63.3069     2009.859     214.4423        31  89.65   2    1.262
       292    903.0413     67.9917     1471.403     217.2465        21 -25.39   2    1.137
       293    601.5525     70.3280     946.1053     214.7098         7  18.50   0    1.159
       294    397.4882     66.5148     1017.309     214.2128        10  14.03   2    1.405
       295    567.5984     63.3497     1775.989     215.8995        37 -44.78   2    1.289
